name
Австралия
Австрия
Азербайджан
Албания
Алжир
Американские Виргинские острова
Американское Самоа
Ангола
Андорра
Антарктида
Антигуа и Барбуда
Антильские Острова
Аргентина
Армения
Аруба
Афганистан
Багамы
Бангладеш
Барбадос
Бахрейн
Беларусь
Белиз
Бельгия
Бенин
Берег Слоновой кости
Бермуды
Бирма
Болгария
Боливия
Босния
Босния и Герцеговина
Ботсвана
Бразилия
Бруней-Даруссалам
Буркина-Фасо
Бурунди
Бутан
Вануату
Ватикан
Великобритания
Венгрия
Венесуэла
Внешние малые острова США
Вьетнам
Вьетнам Северный
Габон
Гаити
Гайана
Гамбия
Гана
Гваделупа
Гватемала
Гвинея
Гвинея-Бисау
Германия
Германия (ГДР)
Германия (ФРГ)
Гибралтар
Гондурас
Гонконг
Гренада
Гренландия
Греция
Грузия
Гуам
Дания
Джибути
Доминика
Доминикана
Египет
Заир
Замбия
Западная Сахара
Зимбабве
Израиль
Индия
Индонезия
Иордания
Ирак
Иран
Ирландия
Исландия
Испания
Италия
Йемен
Кабо-Верде
Казахстан
Каймановы острова
Камбоджа
Камерун
Канада
Катар
Кения
Кипр
Кирибати
Китай
Колумбия
Коморы
Конго
Конго (ДРК)
Корея
Корея Северная
Корея Южная
Косово
Коста-Рика
Кот-д’Ивуар
Куба
Кувейт
Кыргызстан
Лаос
Латвия
Лесото
Либерия
Ливан
Ливия
Литва
Лихтенштейн
Люксембург
Маврикий
Мавритания
Мадагаскар
Макао
Македония
Малави
Малайзия
Мали
Мальдивы
Мальта
Марокко
Мартиника
Маршалловы острова
Масаи
Мексика
Мелкие отдаленные острова США
Мозамбик
Молдова
Монако
Монголия
Монтсеррат
Мьянма
Намибия
Непал
Нигер
Нигерия
Нидерланды
Никарагуа
Новая Зеландия
Новая Каледония
Норвегия
ОАЭ
Оккупированная Палестинская территория
Оман
Остров Мэн
Остров Святой Елены
Острова Кука
острова Теркс и Кайкос
Пакистан
Палау
Палестина
Панама
Папуа - Новая Гвинея
Парагвай
Перу
Польша
Португалия
Пуэрто Рико
Реюньон
Российская империя
Россия
Руанда
Румыния
Сальвадор
Самоа
Сан-Марино
Сан-Томе и Принсипи
Саудовская Аравия
Свазиленд
Сейшельские острова
Сенегал
Сент-Винсент и Гренадины
Сент-Китс и Невис
Сент-Люсия
Сербия
Сербия и Черногория
Сиам
Сингапур
Сирия
Словакия
Словения
Соломоновы Острова
Сомали
СССР
Судан
Суринам
США
Сьерра-Леоне
Таджикистан
Таиланд
Тайвань
Танзания
Тимор-Лесте
Того
Тонга
Тринидад и Тобаго
Тувалу
Тунис
Туркменистан
Турция
Уганда
Узбекистан
Украина
Уоллис и Футуна
Уругвай
Фарерские острова
Федеративные Штаты Микронезии
Фиджи
Филиппины
Финляндия
Фолклендские острова
Франция
Французская Гвиана
Французская Полинезия
Хорватия
ЦАР
Чад
Черногория
Чехия
Чехословакия
Чили
Швейцария
Швеция
Шпицберген и Ян-Майен
Шри-Ланка
Эквадор
Экваториальная Гвинея
Эритрея
Эстония
Эфиопия
ЮАР
Югославия
Югославия (ФР)
Ямайка
Япония
